df_name,segment_index,start_location,end_location,training
1109,0,START,Bowl,1
1109,1,Bowl,Diamond,1
1109,2,Diamond,Pickaxe,1
1109,3,Pickaxe,Stick,1
1109,4,Stick,Book,1
1109,5,Book,Brick,1
1109,6,Brick,Bread,1
1109,7,Bread,Apple,1
1109,8,Apple,Cake,1
1109,9,Cake,Egg,1
1109,10,Egg,Bone,1
1109,11,Bone,Arrow,1
1117,0,START,Pickaxe,1
1117,1,Pickaxe,Bone,1
1117,2,Bone,Egg,1
1117,3,Egg,Pickaxe,1
1117,4,Pickaxe,Bowl,1
1117,5,Bowl,Apple,1
1117,6,Apple,Cake,1
1117,7,Cake,Bread,1
1117,8,Bread,Brick,1
1117,9,Brick,Book,1
1117,10,Book,Arrow,1
1117,11,Arrow,Bone,1
1117,12,Bone,Pickaxe,1
1117,13,Pickaxe,Cake,1
1117,14,Cake,Bone,1
1117,15,Bone,Arrow,1
2006,0,START,Pickaxe,1
2006,1,Pickaxe,Arrow,1
2006,2,Arrow,Book,1
2006,3,Book,Brick,1
2021,0,START,Pickaxe,1
2021,1,Pickaxe,Bone,1
2021,2,Bone,Arrow,1
2021,3,Arrow,Book,1
2021,4,Book,Brick,1
2021,5,Brick,Bread,1
2021,6,Bread,Bowl,1
2021,7,Bowl,Bowl,1
2021,8,Bowl,Diamond,1
2024,0,START,Pickaxe,1
2024,1,Pickaxe,Bone,1
2024,2,Bone,Egg,1
2024,3,Egg,Diamond,1
2024,4,Diamond,Bowl,1
2024,5,Bowl,Cake,1
2024,6,Cake,Apple,1
2024,7,Apple,Bread,1
2024,8,Bread,Brick,1
2024,9,Brick,Book,1
2024,10,Book,Stick,1
2024,11,Stick,Pickaxe,1
2024,12,Pickaxe,Arrow,1
2043,0,START,Pickaxe,1
2043,1,Pickaxe,Bone,1
2043,2,Bone,Egg,1
2043,3,Egg,Bowl,1
2043,4,Bowl,Diamond,1
2043,5,Diamond,Egg,1
2043,6,Egg,Arrow,1
2043,7,Arrow,Pickaxe,1
2043,8,Pickaxe,Bone,1
2043,9,Bone,Book,1
2043,10,Book,Brick,1
2043,11,Brick,Bread,1
2043,12,Bread,Apple,1
2043,13,Apple,Cake,1
2043,14,Cake,Bowl,1
2043,15,Bowl,Cake,1
2043,16,Cake,Apple,1
2043,17,Apple,Bread,1
2046,0,START,Pickaxe,1
2046,1,Pickaxe,Bone,1
2046,2,Bone,Arrow,1
2046,3,Arrow,Book,1
2046,4,Book,Brick,1
2046,5,Brick,Bread,1
2046,6,Bread,Apple,1
2046,7,Apple,Bowl,1
2046,8,Bowl,Cake,1
2046,9,Cake,Diamond,1
2046,10,Diamond,Egg,1
2046,11,Egg,Book,1
2046,12,Book,Brick,1
2046,13,Brick,Apple,1
2046,14,Apple,Stick,1
2049,0,START,Apple,1
2049,1,Apple,Bowl,1
2049,2,Bowl,Cake,1
2049,3,Cake,Brick,1
2049,4,Brick,Book,1
2049,5,Book,Stick,1
2049,6,Stick,Pickaxe,1
2049,7,Pickaxe,Bone,1
2049,8,Bone,Stick,1
2049,9,Stick,Bread,1
2049,10,Bread,Egg,1
2049,11,Egg,Bone,1
2049,12,Bone,Pickaxe,1
2049,13,Pickaxe,Diamond,1
2049,14,Diamond,Cake,1
