df_name,segment_index,start_location,end_location
1109,0,START,Bowl
1109,1,Bowl,Diamond
1109,2,Diamond,Pickaxe
1109,3,Pickaxe,Stick
1109,4,Stick,Book
1109,5,Book,Brick
1109,6,Brick,Bread
1109,7,Bread,Apple
1109,8,Apple,Cake
1109,9,Cake,Egg
1109,10,Egg,Bone
1109,11,Bone,Arrow
1117,0,START,Pickaxe
1117,1,Pickaxe,Bone
1117,2,Bone,Egg
1117,3,Egg,Pickaxe
1117,4,Pickaxe,Bowl
1117,5,Bowl,Apple
1117,6,Apple,Cake
1117,7,Cake,Bread
1117,8,Bread,Brick
1117,9,Brick,Book
1117,10,Book,Arrow
1117,11,Arrow,Bone
1117,12,Bone,Pickaxe
1117,13,Pickaxe,Cake
1117,14,Cake,Bone
1117,15,Bone,Arrow
2006,0,START,Pickaxe
2006,1,Pickaxe,Arrow
2006,2,Arrow,Book
2006,3,Book,Brick
2021,0,START,Pickaxe
2021,1,Pickaxe,Bone
2021,2,Bone,Arrow
2021,3,Arrow,Book
2021,4,Book,Brick
2021,5,Brick,Bread
2021,6,Bread,Bowl
2021,7,Bowl,Bowl
2021,8,Bowl,Diamond
2024,0,START,Pickaxe
2024,1,Pickaxe,Bone
2024,2,Bone,Egg
2024,3,Egg,Diamond
2024,4,Diamond,Bowl
2024,5,Bowl,Cake
2024,6,Cake,Apple
2024,7,Apple,Bread
2024,8,Bread,Brick
2024,9,Brick,Book
2024,10,Book,Stick
2024,11,Stick,Pickaxe
2024,12,Pickaxe,Arrow
2043,0,START,Pickaxe
2043,1,Pickaxe,Bone
2043,2,Bone,Egg
2043,3,Egg,Bowl
2043,4,Bowl,Diamond
2043,5,Diamond,Egg
2043,6,Egg,Arrow
2043,7,Arrow,Pickaxe
2043,8,Pickaxe,Bone
2043,9,Bone,Book
2043,10,Book,Brick
2043,11,Brick,Bread
2043,12,Bread,Apple
2043,13,Apple,Cake
2043,14,Cake,Bowl
2043,15,Bowl,Cake
2043,16,Cake,Apple
2043,17,Apple,Bread
2046,0,START,Pickaxe
2046,1,Pickaxe,Bone
2046,2,Bone,Arrow
2046,3,Arrow,Book
2046,4,Book,Brick
2046,5,Brick,Bread
2046,6,Bread,Apple
2046,7,Apple,Bowl
2046,8,Bowl,Cake
2046,9,Cake,Diamond
2046,10,Diamond,Egg
2046,11,Egg,Book
2046,12,Book,Brick
2046,13,Brick,Apple
2046,14,Apple,Stick
2049,0,START,Apple
2049,1,Apple,Bowl
2049,2,Bowl,Cake
2049,3,Cake,Brick
2049,4,Brick,Book
2049,5,Book,Stick
2049,6,Stick,Pickaxe
2049,7,Pickaxe,Bone
2049,8,Bone,Stick
2049,9,Stick,Bread
2049,10,Bread,Egg
2049,11,Egg,Bone
2049,12,Bone,Pickaxe
2049,13,Pickaxe,Diamond
2049,14,Diamond,Cake
2049,15,Cake,Diamond
2049,16,Diamond,Cake
2049,17,Cake,Bread
2049,18,Bread,Brick
2055,0,START,Pickaxe
2055,1,Pickaxe,Bone
2055,2,Bone,Egg
2055,3,Egg,Diamond
2055,4,Diamond,Bowl
2055,5,Bowl,Cake
2055,6,Cake,Apple
2055,7,Apple,Bread
2055,8,Bread,Brick
2055,9,Brick,Brick
2055,10,Brick,Book
2055,11,Book,Stick
2055,12,Stick,Arrow
2081,0,START,Pickaxe
2081,1,Pickaxe,Bone
2081,2,Bone,Egg
2081,3,Egg,Diamond
2081,4,Diamond,Bowl
2081,5,Bowl,Cake
2081,6,Cake,Pickaxe
2081,7,Pickaxe,Stick
2081,8,Stick,Book
2081,9,Book,Brick
2081,10,Brick,Bread
2081,11,Bread,Apple
2081,12,Apple,Egg
2081,13,Egg,Cake
2081,14,Cake,Bread
2081,15,Bread,Book
2081,16,Book,Pickaxe
2081,17,Pickaxe,Pickaxe
2081,18,Pickaxe,Bone
2084,0,START,Pickaxe
2084,1,Pickaxe,Egg
2084,2,Egg,Bone
2084,3,Bone,Apple
