df_name,segment_index,start_location,end_location,training,cluster
1107,0,START,Helmet,1,3.0
1107,1,Helmet,FishingRod,1,0.0
1107,2,FishingRod,Ladder,1,0.0
1107,3,Ladder,FishingRod,1,0.0
1107,4,FishingRod,Paper,1,0.0
1107,5,Paper,Axe,1,0.0
1107,6,Axe,Wheat,1,3.0
1107,7,Wheat,Paper,1,0.0
1107,8,Paper,Bucket,1,2.0
1107,9,Bucket,Cactus,1,2.0
1107,10,Cactus,Axe,1,0.0
1107,11,Axe,Paper,1,0.0
1107,12,Paper,Ladder,1,0.0
1107,13,Ladder,Paper,1,0.0
1107,14,Paper,Pumpkin,1,0.0
1107,15,Pumpkin,Emerald,1,0.0
1107,16,Emerald,Watermelon,1,0.0
1107,17,Watermelon,Carrot,1,0.0
1120,0,START,Helmet,1,0.0
1120,1,Helmet,Ladder,1,0.0
1120,2,Ladder,FishingRod,1,0.0
1120,3,FishingRod,Paper,1,0.0
1120,4,Paper,Carrot,1,0.0
1120,5,Carrot,Watermelon,1,0.0
1120,6,Watermelon,Emerald,1,0.0
1120,7,Emerald,Paper,1,0.0
1120,8,Paper,Axe,1,0.0
1120,9,Axe,Wheat,1,0.0
1120,10,Wheat,Wheat,1,0.0
1120,11,Wheat,Pumpkin,1,0.0
1120,12,Pumpkin,Cactus,1,2.0
1120,13,Cactus,Bucket,1,
2014,0,START,Cactus,1,0.0
2014,1,Cactus,Bucket,1,0.0
2014,2,Bucket,Pumpkin,1,0.0
2014,3,Pumpkin,Emerald,1,
2014,4,Emerald,Watermelon,1,0.0
2014,5,Watermelon,Carrot,1,0.0
2014,6,Carrot,Helmet,1,0.0
2014,7,Helmet,FishingRod,1,2.0
2014,8,FishingRod,Ladder,1,0.0
2014,9,Ladder,Paper,1,0.0
2014,10,Paper,Axe,1,2.0
2014,11,Axe,Wheat,1,0.0
2019,0,START,Helmet,1,0.0
2019,1,Helmet,FishingRod,1,0.0
2019,2,FishingRod,Paper,1,0.0
2019,3,Paper,Axe,1,2.0
2019,4,Axe,Paper,1,2.0
2019,5,Paper,Ladder,1,0.0
2019,6,Ladder,Helmet,1,2.0
2019,7,Helmet,Carrot,1,0.0
2019,8,Carrot,Watermelon,1,0.0
2019,9,Watermelon,Watermelon,1,2.0
2019,10,Watermelon,Emerald,1,0.0
2019,11,Emerald,Cactus,1,0.0
2019,12,Cactus,Pumpkin,1,0.0
2019,13,Pumpkin,Bucket,1,0.0
2019,14,Bucket,Axe,1,0.0
2019,15,Axe,Ladder,1,
2019,16,Ladder,Helmet,1,0.0
2035,0,START,Helmet,1,0.0
2035,1,Helmet,FishingRod,1,1.0
2035,2,FishingRod,Ladder,1,0.0
2035,3,Ladder,Paper,1,0.0
2035,4,Paper,Emerald,1,0.0
2035,5,Emerald,Cactus,1,2.0
2035,6,Cactus,Pumpkin,1,0.0
2035,7,Pumpkin,Bucket,1,0.0
2035,8,Bucket,Pumpkin,1,0.0
2035,9,Pumpkin,Wheat,1,0.0
2035,10,Wheat,Axe,1,1.0
2035,11,Axe,Paper,1,0.0
2037,0,START,Helmet,1,0.0
2037,1,Helmet,Ladder,1,0.0
2037,2,Ladder,Carrot,1,0.0
2037,3,Carrot,Watermelon,1,0.0
2037,4,Watermelon,Emerald,1,0.0
2037,5,Emerald,Pumpkin,1,
2037,6,Pumpkin,Wheat,1,0.0
2037,7,Wheat,Axe,1,0.0
2037,8,Axe,Paper,1,0.0
2037,9,Paper,Ladder,1,0.0
2037,10,Ladder,Bucket,1,3.0
2037,11,Bucket,Cactus,1,0.0
2037,12,Cactus,Emerald,1,0.0
2037,13,Emerald,Watermelon,1,0.0
2037,14,Watermelon,Helmet,1,0.0
2037,15,Helmet,Ladder,1,1.0
2037,16,Ladder,Axe,1,0.0
2051,0,START,Helmet,1,0.0
2051,1,Helmet,Carrot,1,1.0
2051,2,Carrot,Watermelon,1,0.0
2051,3,Watermelon,Emerald,1,0.0
2051,4,Emerald,Pumpkin,1,0.0
2051,5,Pumpkin,Bucket,1,0.0
2051,6,Bucket,Cactus,1,2.0
2051,7,Cactus,Pumpkin,1,0.0
2051,8,Pumpkin,Wheat,1,0.0
2051,9,Wheat,Axe,1,
2051,10,Axe,Paper,1,0.0
2051,11,Paper,Ladder,1,0.0
2051,12,Ladder,FishingRod,1,0.0
2056,0,START,Helmet,1,0.0
2056,1,Helmet,FishingRod,1,0.0
2056,2,FishingRod,Paper,1,0.0
2056,3,Paper,Paper,1,0.0
2056,4,Paper,Ladder,1,0.0
2056,5,Ladder,Paper,1,0.0
2056,6,Paper,Carrot,1,2.0
2056,7,Carrot,Watermelon,1,0.0
2056,8,Watermelon,Emerald,1,0.0
2056,9,Emerald,Pumpkin,1,0.0
2056,10,Pumpkin,Wheat,1,0.0
2056,11,Wheat,Bucket,1,0.0
2056,12,Bucket,Cactus,1,2.0
2056,13,Cactus,FishingRod,1,0.0
2056,14,FishingRod,Carrot,1,2.0
2056,15,Carrot,Watermelon,1,0.0
2056,16,Watermelon,Emerald,1,0.0
2057,0,START,Helmet,1,0.0
2057,1,Helmet,FishingRod,1,2.0
2057,2,FishingRod,Carrot,1,0.0
2057,3,Carrot,Watermelon,1,0.0
2057,4,Watermelon,Emerald,1,0.0
2057,5,Emerald,Bucket,1,1.0
2057,6,Bucket,Pumpkin,1,0.0
2057,7,Pumpkin,Cactus,1,0.0
2057,8,Cactus,Wheat,1,0.0
2057,9,Wheat,Bucket,1,0.0
2057,10,Bucket,Cactus,1,0.0
2057,11,Cactus,Helmet,1,2.0
2057,12,Helmet,Watermelon,1,0.0
2075,0,START,Helmet,1,0.0
2075,1,Helmet,Helmet,1,0.0
2075,2,Helmet,FishingRod,1,0.0
2075,3,FishingRod,Ladder,1,2.0
2075,4,Ladder,Paper,1,2.0
2075,5,Paper,FishingRod,1,2.0
2075,6,FishingRod,Helmet,1,1.0
2075,7,Helmet,Watermelon,1,0.0
2075,8,Watermelon,Emerald,1,0.0
2075,9,Emerald,Pumpkin,1,0.0
2075,10,Pumpkin,Cactus,1,0.0
2075,11,Cactus,Bucket,1,0.0
2075,12,Bucket,Wheat,1,0.0
2075,13,Wheat,Axe,1,0.0
2075,14,Axe,Paper,1,0.0
2075,15,Paper,Pumpkin,1,0.0
2075,16,Pumpkin,Axe,1,
2075,17,Axe,Paper,1,0.0
2113,0,START,Helmet,1,0.0
2113,1,Helmet,Carrot,1,2.0
2113,2,Carrot,Watermelon,1,0.0
2113,3,Watermelon,Emerald,1,0.0
2113,4,Emerald,Cactus,1,0.0
2113,5,Cactus,Bucket,1,2.0
2113,6,Bucket,Pumpkin,1,0.0
2113,7,Pumpkin,Wheat,1,0.0
2113,8,Wheat,Axe,1,0.0
2113,9,Axe,Paper,1,0.0
2113,10,Paper,Ladder,1,0.0
2113,11,Ladder,FishingRod,1,0.0
2115,0,START,Helmet,1,0.0
2115,1,Helmet,FishingRod,1,2.0
2115,2,FishingRod,Ladder,1,0.0
2115,3,Ladder,Paper,1,0.0
2115,4,Paper,Ladder,1,0.0
2115,5,Ladder,Carrot,1,0.0
2115,6,Carrot,Watermelon,1,0.0
2115,7,Watermelon,Emerald,1,0.0
2115,8,Emerald,Helmet,1,2.0
2115,9,Helmet,Axe,1,2.0
2115,10,Axe,Wheat,1,0.0
2115,11,Wheat,Pumpkin,1,
2115,12,Pumpkin,Cactus,1,0.0
2115,13,Cactus,Bucket,1,
2236,0,START,Helmet,1,0.0
2236,1,Helmet,Bucket,1,0.0
2236,2,Bucket,Cactus,1,2.0
2236,3,Cactus,Emerald,1,2.0
2236,4,Emerald,Watermelon,1,0.0
2236,5,Watermelon,Carrot,1,0.0
2236,6,Carrot,Helmet,1,0.0
2236,7,Helmet,FishingRod,1,0.0
2236,8,FishingRod,Ladder,1,0.0
2236,9,Ladder,Emerald,1,0.0
2236,10,Emerald,Cactus,1,0.0
2236,11,Cactus,Pumpkin,1,0.0
2236,12,Pumpkin,Wheat,1,2.0
2236,13,Wheat,Axe,1,0.0
2236,14,Axe,Paper,1,
2247,0,START,Helmet,1,0.0
2247,1,Helmet,Emerald,1,0.0
2247,2,Emerald,Watermelon,1,0.0
2247,3,Watermelon,Carrot,1,0.0
2247,4,Carrot,Helmet,1,0.0
2247,5,Helmet,FishingRod,1,2.0
2247,6,FishingRod,Ladder,1,0.0
2247,7,Ladder,Paper,1,0.0
2247,8,Paper,Axe,1,
2247,9,Axe,Wheat,1,0.0
2247,10,Wheat,Pumpkin,1,0.0
2247,11,Pumpkin,Cactus,1,0.0
2247,12,Cactus,Bucket,1,2.0
2300,0,START,Helmet,1,0.0
2300,1,Helmet,FishingRod,1,0.0
2300,2,FishingRod,Ladder,1,2.0
2300,3,Ladder,Paper,1,0.0
2300,4,Paper,Helmet,1,0.0
2300,5,Helmet,Watermelon,1,0.0
2300,6,Watermelon,Carrot,1,1.0
2300,7,Carrot,Helmet,1,2.0
2300,8,Helmet,FishingRod,1,0.0
2300,9,FishingRod,Paper,1,2.0
2300,10,Paper,Axe,1,0.0
2300,11,Axe,Wheat,1,2.0
2300,12,Wheat,Bucket,1,0.0
2300,13,Bucket,Cactus,1,2.0
2300,14,Cactus,Pumpkin,1,0.0
2300,15,Pumpkin,Emerald,1,1.0
2303,0,START,Helmet,1,0.0
2303,1,Helmet,Ladder,1,0.0
2303,2,Ladder,FishingRod,1,0.0
2303,3,FishingRod,Paper,1,0.0
2303,4,Paper,Helmet,1,0.0
2303,5,Helmet,Watermelon,1,0.0
2303,6,Watermelon,Emerald,1,0.0
2303,7,Emerald,Bucket,1,0.0
2303,8,Bucket,Wheat,1,0.0
2303,9,Wheat,Pumpkin,1,0.0
2303,10,Pumpkin,Cactus,1,0.0
2303,11,Cactus,Axe,1,2.0
2303,12,Axe,Paper,1,0.0
2306,0,START,Helmet,1,0.0
2306,1,Helmet,Watermelon,1,0.0
2306,2,Watermelon,Carrot,1,0.0
2306,3,Carrot,FishingRod,1,0.0
2306,4,FishingRod,Ladder,1,0.0
2306,5,Ladder,Ladder,1,0.0
2306,6,Ladder,Paper,1,0.0
2306,7,Paper,Bucket,1,2.0
2306,8,Bucket,Bucket,1,0.0
2306,9,Bucket,Pumpkin,1,0.0
2306,10,Pumpkin,Wheat,1,2.0
2306,11,Wheat,Cactus,1,0.0
2306,12,Cactus,Paper,1,
2306,13,Paper,Axe,1,0.0
2309,0,START,Helmet,1,0.0
2309,1,Helmet,Carrot,1,2.0
2309,2,Carrot,Watermelon,1,0.0
2309,3,Watermelon,Emerald,1,0.0
2309,4,Emerald,Pumpkin,1,0.0
2309,5,Pumpkin,Cactus,1,2.0
2309,6,Cactus,Bucket,1,0.0
2309,7,Bucket,Wheat,1,0.0
2309,8,Wheat,Axe,1,2.0
2309,9,Axe,Paper,1,0.0
2309,10,Paper,Ladder,1,0.0
2309,11,Ladder,FishingRod,1,0.0
2312,0,START,Helmet,1,0.0
2312,1,Helmet,Watermelon,1,0.0
2312,2,Watermelon,Emerald,1,0.0
2312,3,Emerald,Cactus,1,0.0
2312,4,Cactus,Bucket,1,0.0
2312,5,Bucket,Pumpkin,1,0.0
2312,6,Pumpkin,Wheat,1,0.0
2312,7,Wheat,Pumpkin,1,0.0
2312,8,Pumpkin,Axe,1,2.0
2312,9,Axe,Paper,1,0.0
2312,10,Paper,Ladder,1,0.0
2312,11,Ladder,FishingRod,1,0.0
2312,12,FishingRod,Helmet,1,0.0
2312,13,Helmet,Carrot,1,0.0
2322,0,START,Helmet,1,0.0
2322,1,Helmet,FishingRod,1,0.0
2322,2,FishingRod,Ladder,1,0.0
2322,3,Ladder,Paper,1,0.0
2322,4,Paper,Emerald,1,
2322,5,Emerald,Pumpkin,1,0.0
