df_name,segment_index,training,cluster
1107,0,2,0
1107,0,1,3
1107,1,2,0
1107,1,1,0
1107,10,2,0
1107,10,1,0
1107,11,2,0
1107,11,1,0
1107,12,1,0
1107,13,1,0
1107,14,1,0
1107,15,1,0
1107,16,1,0
1107,17,1,0
1107,2,2,0
1107,2,1,0
1107,3,2,0
1107,3,1,0
1107,4,2,0
1107,4,1,0
1107,5,2,0
1107,5,1,0
1107,6,2,0
1107,6,1,3
1107,7,2,0
1107,7,1,0
1107,8,2,0
1107,8,1,2
1107,9,2,0
1107,9,1,2
1120,0,2,0
1120,0,1,0
1120,1,2,0
1120,1,1,0
1120,10,2,0
1120,10,1,0
1120,11,2,0
1120,11,1,0
1120,12,1,2
1120,2,2,0
1120,2,1,0
1120,3,2,0
1120,3,1,0
1120,4,2,0
1120,4,1,0
1120,5,2,0
1120,5,1,0
1120,6,2,0
1120,6,1,0
1120,7,2,0
1120,7,1,0
1120,8,2,0
1120,8,1,0
1120,9,2,0
1120,9,1,0
2014,0,2,0
2014,0,1,0
2014,1,2,0
2014,1,1,0
2014,10,2,2
2014,10,1,2
2014,11,1,0
2014,2,2,0
2014,2,1,0
2014,3,2,0
2014,4,2,2
2014,4,1,0
2014,5,2,0
2014,5,1,0
2014,6,2,0
2014,6,1,0
2014,7,2,2
2014,7,1,2
2014,8,2,0
2014,8,1,0
2014,9,2,0
2014,9,1,0
2019,0,2,0
2019,0,1,0
2019,1,1,0
2019,10,2,0
2019,10,1,0
2019,11,2,1
2019,11,1,0
2019,12,2,1
2019,12,1,0
2019,13,1,0
2019,14,1,0
2019,16,1,0
2019,2,2,0
2019,2,1,0
2019,3,2,0
2019,3,1,2
2019,4,1,2
2019,5,2,0
2019,5,1,0
2019,6,2,0
2019,6,1,2
2019,7,2,0
2019,7,1,0
2019,8,2,0
2019,8,1,0
2019,9,2,0
2019,9,1,2
2035,0,2,0
2035,0,1,0
2035,1,1,1
2035,10,2,0
2035,10,1,1
2035,11,2,0
2035,11,1,0
2035,12,2,0
2035,13,2,0
2035,14,2,3
2035,15,2,2
2035,16,2,0
2035,18,2,0
2035,2,2,0
2035,2,1,0
2035,3,2,2
2035,3,1,0
2035,4,2,0
2035,4,1,0
2035,5,2,0
2035,5,1,2
2035,6,2,0
2035,6,1,0
2035,7,2,0
2035,7,1,0
2035,8,2,0
2035,8,1,0
2035,9,2,0
2035,9,1,0
2037,0,2,0
2037,0,1,0
2037,1,2,0
2037,1,1,0
2037,10,2,0
2037,10,1,3
2037,11,2,0
2037,11,1,0
2037,12,1,0
2037,13,1,0
2037,14,1,0
2037,15,1,1
2037,16,1,0
2037,2,2,2
2037,2,1,0
2037,3,2,0
2037,3,1,0
2037,4,2,0
2037,4,1,0
2037,5,2,0
2037,6,2,0
2037,6,1,0
2037,7,2,0
2037,7,1,0
2037,8,2,0
2037,8,1,0
2037,9,2,0
2037,9,1,0
2051,0,2,0
2051,0,1,0
2051,1,2,0
2051,1,1,1
2051,10,2,0
2051,10,1,0
2051,11,2,0
2051,11,1,0
2051,12,2,1
2051,12,1,0
2051,2,2,2
2051,2,1,0
2051,3,2,0
2051,3,1,0
2051,4,2,1
2051,4,1,0
2051,5,1,0
2051,6,2,0
2051,6,1,2
2051,7,2,0
2051,7,1,0
2051,8,2,0
2051,8,1,0
2051,9,2,0
2056,0,2,0
2056,0,1,0
2056,1,2,0
2056,1,1,0
2056,10,1,0
2056,11,2,0
2056,11,1,0
2056,12,2,0
2056,12,1,2
2056,13,1,0
2056,14,1,2
2056,15,1,0
2056,16,1,0
2056,2,2,0
2056,2,1,0
2056,3,2,0
2056,3,1,0
2056,4,2,0
2056,4,1,0
2056,5,2,0
2056,5,1,0
2056,6,2,0
2056,6,1,2
2056,7,2,2
2056,7,1,0
2056,8,2,0
2056,8,1,0
2056,9,2,0
2056,9,1,0
2057,0,2,0
2057,0,1,0
2057,1,2,2
2057,1,1,2
2057,10,2,2
2057,10,1,0
2057,11,2,2
2057,11,1,2
2057,12,2,2
2057,12,1,0
2057,13,2,2
2057,14,2,0
2057,15,2,0
2057,16,2,0
2057,17,2,2
2057,2,2,0
2057,2,1,0
2057,3,2,0
2057,3,1,0
2057,4,2,2
2057,4,1,0
2057,5,2,0
2057,5,1,1
2057,6,2,0
2057,6,1,0
2057,7,2,0
2057,7,1,0
2057,8,2,0
2057,8,1,0
2057,9,2,0
2057,9,1,0
2075,0,2,0
2075,0,1,0
2075,1,2,0
2075,1,1,0
2075,10,2,0
2075,10,1,0
2075,11,2,0
2075,11,1,0
2075,12,2,0
2075,12,1,0
2075,13,2,0
2075,13,1,0
2075,14,2,3
2075,14,1,0
2075,15,2,0
2075,15,1,0
2075,17,1,0
2075,2,2,2
2075,2,1,0
2075,3,2,0
2075,3,1,2
2075,4,2,0
2075,4,1,2
2075,5,2,0
2075,5,1,2
2075,6,2,0
2075,6,1,1
2075,7,2,0
2075,7,1,0
2075,8,2,0
2075,8,1,0
2075,9,2,0
2075,9,1,0
2113,0,2,0
2113,0,1,0
2113,1,2,0
2113,1,1,2
2113,10,2,0
2113,10,1,0
2113,11,2,0
2113,11,1,0
2113,2,2,0
2113,2,1,0
2113,3,2,0
2113,3,1,0
2113,4,2,0
2113,4,1,0
2113,5,2,0
2113,5,1,2
2113,6,2,0
2113,6,1,0
2113,7,2,0
