df_name,curve_count,avg_length,avg_distance
1107,10,100.0,4.796
1120,6,100.0,4.493333333333333
2014,9,100.0,5.931111111111111
2019,10,100.0,2.223
2035,4,100.0,3.535
2037,6,100.0,6.001666666666668
2051,6,100.0,2.7733333333333334
2056,8,100.0,3.0575
2057,2,100.0,1.0
2075,5,100.0,4.392
2113,9,100.0,4.804444444444445
2115,7,100.0,3.325714285714286
2236,10,100.0,4.41
2247,5,100.0,3.0460000000000003
2300,3,100.0,2.1666666666666665
2303,3,100.0,4.576666666666667
2306,8,100.0,3.7399999999999998
2309,9,100.0,4.344444444444445
2312,4,100.0,5.035
2322,2,100.0,2.16
3000,6,100.0,7.260000000000001
3001,9,100.0,3.8244444444444445
3006,11,100.0,4.278181818181818
3015,12,100.0,2.2466666666666666
3017,2,100.0,5.865
3020,12,100.0,2.815
3021,8,100.0,5.938750000000001
3023,11,100.0,3.0381818181818185
3024,5,100.0,3.1100000000000003
3031,10,100.0,5.174
3035,4,100.0,8.855
3039,12,100.0,4.7316666666666665
3043,9,100.0,3.328888888888889
3052,2,100.0,5.82
3053,3,100.0,6.8500000000000005
3055,10,100.0,3.46
3059,7,100.0,5.208571428571429
4020,4,100.0,5.7175
4021,8,100.0,5.251250000000001
4022,1,100.0,1.0
4024,10,100.0,3.5140000000000002
4041,7,100.0,5.085714285714286
5002,10,100.0,3.8870000000000005
5006,5,100.0,3.6100000000000003
5007,7,100.0,3.052857142857143
5030,4,100.0,7.32
5040,8,100.0,3.495
5042,7,100.0,4.182857142857143
5044,11,100.0,3.310909090909091
5046,10,100.0,3.2640000000000002
5049,8,100.0,3.81875
5055,10,100.0,3.278
5057,6,100.0,6.236666666666667
5059,10,100.0,5.119
5062,5,100.0,3.41
