df_name,curve_count,avg_original_length,avg_last_value
1107,10,41.4,4.796
1120,6,63.0,4.493333333333333
2014,9,68.66666666666667,5.931111111111111
2019,10,47.7,2.223
2035,4,24.0,3.535
2037,6,86.33333333333333,6.001666666666668
2051,6,68.0,2.7733333333333334
2056,8,55.0,3.0575
2057,2,25.0,1.0
2075,5,61.2,4.392
2113,9,55.666666666666664,4.804444444444445
2115,7,80.14285714285714,3.325714285714286
2236,10,46.7,4.41
2247,5,40.8,3.0460000000000003
2300,3,99.66666666666667,2.1666666666666665
2303,3,52.666666666666664,4.576666666666667
2306,8,67.25,3.7399999999999998
2309,9,44.111111111111114,4.344444444444445
2312,4,69.0,5.035
2322,2,63.0,2.16
3000,6,70.5,7.260000000000001
3001,9,31.333333333333332,3.8244444444444445
3006,11,30.454545454545453,4.278181818181818
3015,12,53.916666666666664,2.2466666666666666
3017,2,25.5,5.865
3020,12,48.083333333333336,2.815
3021,8,58.75,5.938750000000001
3023,11,45.18181818181818,3.0381818181818185
3024,5,61.2,3.1100000000000003
3031,10,45.5,5.174
3035,4,27.75,8.855
3039,12,52.916666666666664,4.7316666666666665
3043,9,44.0,3.328888888888889
3052,2,24.0,5.82
3053,3,36.666666666666664,6.8500000000000005
3055,10,40.8,3.46
3059,7,41.57142857142857,5.208571428571429
4020,4,56.5,5.7175
4021,8,44.375,5.251250000000001
4022,1,30.0,1.0
4024,10,30.8,3.5140000000000002
4041,7,48.285714285714285,5.085714285714286
5002,10,37.2,3.8870000000000005
5006,5,29.8,3.6100000000000003
5007,7,53.0,3.052857142857143
5030,4,52.0,7.32
5040,8,39.625,3.495
5042,7,52.142857142857146,4.182857142857143
5044,11,33.09090909090909,3.310909090909091
5046,10,31.8,3.2640000000000002
5049,8,26.625,3.81875
5055,10,16.4,3.278
5057,6,76.83333333333333,6.236666666666667
5059,10,21.5,5.119
5062,5,32.0,3.41
