df_name,removed_curves_count
1107,12
1120,13
2014,5
2019,21
2035,15
2037,18
2051,16
2056,21
2057,22
2075,19
2113,14
2115,19
2236,13
2247,11
2300,14
2303,20
2306,12
2309,18
2312,19
2322,17
3000,17
3001,16
3006,13
3015,23
3017,22
3020,8
3021,17
3023,12
3024,15
3031,14
3035,19
3039,7
3043,11
3052,17
3053,15
3055,11
3059,16
4020,13
4021,17
4022,23
4024,12
4041,24
5002,16
5006,10
5007,7
5030,21
5040,15
5042,10
5044,4
5046,6
5049,10
5055,14
5057,11
5059,5
5062,15
