,gender,game_type,minecraft_skill,gaming_hours,removed_curves_count,age,Env,cluster0,cluster1,cluster2,cluster3
1,Male,First-person,Novice,1,0,20,3,0.428571429,0,0.142857143,0.428571429
2,Female,Third-person,Novice,1,0,19,1,0.75,0,0,0.25
3,Female,Both,Novice,2,2,20,2,0.695652174,0,0,0.304347826
4,Female,Both,Novice,1,2,18,4,0.923076923,0,0,0.076923077
5,Male,Both,Intermediate,3,2,21,2,0.769230769,0.076923077,0,0.153846154
6,Male,Both,Novice,3,1,21,4,0.666666667,0.033333333,0,0.3
7,Female,Third-person,Novice,1,0,22,4,0.75,0.035714286,0.035714286,0.178571429
8,Female,Third-person,Novice,0,2,22,1,0.92,0,0.04,0.04
9,Female,First-person,Novice,0,0,23,3,0.875,0,0,0.125
10,Female,First-person,Novice,0,1,20,4,0.888888889,0,0.037037037,0.074074074
11,Female,First-person,Novice,0,2,21,3,0.666666667,0.074074074,0.037037037,0.222222222
12,Female,Third-person,Novice,0,2,22,4,0.807692308,0,0,0.192307692
13,Female,First-person,Novice,0,0,22,3,0.862068966,0.034482759,0,0.103448276
14,Female,First-person,Novice,0,3,23,2,0.689655172,0.068965517,0.034482759,0.206896552
15,Female,Both,Expert,0,1,21,2,0.857142857,0.035714286,0.035714286,0.071428571
16,Male,Both,Intermediate,2,1,17,4,0.692307692,0.038461538,0.038461538,0.230769231
17,Female,Both,Novice,1,1,20,3,0.942857143,0,0,0.057142857
18,Female,Neither,Novice,0,1,23,1,0.764705882,0,0.029411765,0.205882353
19,Male,Both,Intermediate,4,0,19,1,0.833333333,0.041666667,0.041666667,0.083333333
20,Male,Both,Expert,3,3,18,1,0.777777778,0,0.037037037,0.185185185
21,Female,Third-person,Novice,0,0,27,2,0.76,0.12,0,0.12
22,Male,Both,Expert,6,3,20,3,0.777777778,0,0.055555556,0.166666667
23,Female,Both,Intermediate,7,0,21,1,0.916666667,0,0,0.083333333
24,Male,Both,Novice,0,1,28,2,0.862068966,0.034482759,0,0.103448276
25,Male,Both,Intermediate,2,2,22,4,0.71875,0,0.0625,0.21875
26,Female,Neither,Novice,0,0,19,3,0.916666667,0.083333333,0,0
27,Female,First-person,Intermediate,2,2,20,4,0.962962963,0,0,0.037037037
28,Female,Neither,Novice,0,2,21,4,0.675675676,0,0.054054054,0.27027027
29,Female,Both,Intermediate,1,0,22,4,0.555555556,0.037037037,0,0.407407407
30,Female,Third-person,Novice,0,1,21,3,0.76,0.04,0.04,0.16
31,Male,First-person,Novice,0,1,17,2,0.787878788,0.03030303,0.03030303,0.151515152
32,Female,Both,Intermediate,2,1,19,3,0.742857143,0.028571429,0,0.228571429
33,Female,Both,Novice,0,1,20,3,0.866666667,0,0.033333333,0.1
34,Male,Both,Intermediate,0,1,20,4,0.739130435,0.043478261,0,0.217391304
35,Female,Third-person,Novice,2,1,20,1,0.903225806,0,0,0.096774194
36,Female,Neither,Novice,0,2,20,4,0.71875,0.03125,0,0.25
37,Male,Both,Novice,3,2,21,4,0.916666667,0,0.041666667,0.041666667
38,Female,Neither,Novice,0,0,27,1,0.611111111,0.055555556,0.055555556,0.277777778
39,Female,Neither,Novice,0,0,22,1,0.88,0.04,0,0.08
40,Female,First-person,Novice,2,1,22,3,0.48,0.04,0.08,0.4
41,Female,Both,Novice,1,1,22,3,0.868421053,0,0,0.131578947
42,Male,Both,Expert,4,0,23,3,0.8,0.05,0,0.15
43,Other,Third-person,Intermediate,3,1,19,3,0.826086957,0,0,0.173913043
44,Female,Neither,Novice,0,1,21,3,0.777777778,0.074074074,0,0.148148148
45,Female,First-person,Novice,0,0,31,3,0.827586207,0,0.034482759,0.137931034
46,Female,Both,Novice,0,0,31,3,0.827586207,0,0.034482759,0.137931034
47,Female,Both,Expert,2,2,17,3,1,0,0,0
48,Female,Neither,Novice,0,1,29,3,0.821428571,0,0,0.178571429
49,Female,Neither,Novice,0,1,21,3,0.875,0,0.05,0.075
50,Female,First-person,Intermediate,1,2,30,3,0.740740741,0.037037037,0.074074074,0.148148148
51,Male,Both,Novice,0,1,21,3,0.695652174,0.043478261,0,0.260869565
52,Female,First-person,Novice,1,3,20,3,0.814814815,0,0,0.185185185
53,Male,Both,Novice,0,0,21,3,0.833333333,0,0.041666667,0.125
54,Male,Third-person,Novice,2,1,21,3,0.708333333,0.083333333,0.041666667,0.166666667
55,Female,Third-person,Novice,5,0,20,3,0.833333333,0,0,0.166666667
56,Female,Neither,Novice,0,1,23,4,0.769230769,0.038461538,0.038461538,0.153846154
57,Female,First-person,Novice,5,1,21,2,0.875,0,0,0.125
58,Female,Both,Intermediate,0,2,19,4,0.761904762,0,0,0.238095238
59,Female,Third-person,Novice,1,1,22,2,0.777777778,0.037037037,0,0.185185185
60,Female,First-person,Intermediate,0,0,19,1,0.769230769,0.076923077,0,0.153846154
61,Female,Both,Expert,2,1,19,1,0.814814815,0.037037037,0,0.148148148
62,Female,Third-person,Novice,2,4,21,3,0.75862069,0.068965517,0.034482759,0.137931034
63,Female,Both,Intermediate,2,1,18,3,0.805555556,0.027777778,0,0.166666667
64,Female,Third-person,Novice,1,2,24,3,0.636363636,0.045454545,0.045454545,0.272727273
65,Male,Both,Expert,4,5,20,4,0.785714286,0.035714286,0,0.178571429
66,Male,Both,Expert,4,5,20,4,0.785714286,0.035714286,0,0.178571429
67,Male,Both,Intermediate,6,0,19,4,0.777777778,0,0.148148148,0.074074074
68,Female,Both,Novice,5,1,22,4,0.833333333,0,0,0.166666667
69,Female,Both,Novice,3,1,21,4,0.555555556,0.037037037,0,0.407407407
70,Female,First-person,Novice,1,1,22,2,0.777777778,0,0,0.222222222
71,Female,Both,Intermediate,5,0,25,4,0.75,0,0.041666667,0.208333333
72,Female,Both,Intermediate,4,0,19,4,0.826086957,0,0,0.173913043
73,Female,First-person,Novice,0,0,21,4,0.702702703,0.027027027,0.081081081,0.189189189
74,Male,Both,Expert,4,0,20,1,0.84,0,0.04,0.12
75,Female,Both,Novice,1,1,22,3,0.730769231,0.115384615,0,0.153846154
76,Female,Neither,Novice,0,1,21,2,0.76,0,0,0.24
77,Male,Both,Intermediate,3,1,18,4,0.785714286,0.071428571,0,0.142857143
78,Female,Both,Intermediate,2,3,21,4,0.75,0,0,0.25
79,Female,Both,Intermediate,2,3,21,4,0.75,0,0,0.25
80,Female,Neither,Novice,0,2,21,2,0.6,0.066666667,0.066666667,0.266666667
81,Female,Neither,Novice,0,2,21,3,0.815789474,0.026315789,0.052631579,0.105263158
82,Male,Third-person,Novice,4,2,21,4,0.875,0,0,0.125
