df_name,Age:,Gender:,What ethnicity/race do you identify with? (select all that apply) - Selected Choice,What ethnicity/race do you identify with? (select all that apply) - Other - Text,"What is your level of experience playing video games (any type: computer or console-based, e.g. playstation) ?",Do you play first or third-person games?,"If you game currently, how many hours per day on average? - Hours",What would you consider your current Minecraft skill level?,curve_count,avg_original_length,avg_last_value,Env,Removed_curves
2004,20,Male,Asian,,Novice,First-person,1,Novice,5,102.6,1.564,3E,0
2006,19,Female,Asian,,Novice,Third-person,1,Novice,4,78.5,9.2075,1E,0
2014,20,Female,Latino/Latina/Latinx,,Intermediate,Both,2,Novice,9,68.66666667,5.931111111,2E,2
2017,18,Female,Black or African American,,Novice,Both,1,Novice,4,77.75,10.4225,4E,2
2019,21,Male,Middle Eastern,,Expert,Both,3,Intermediate,10,47.7,2.223,2E,2
2020,21,Male,Asian,,Intermediate,Both,3,Novice,2,25.5,4.07,4E,1
2021,19,Female,Other,Egyptian and Pakistani,Novice,First-person,,Novice,3,59,3.273333333,1E,0
2022,22,Female,Asian,,Intermediate,Third-person,1,Novice,2,118,7.435,4E,0
2024,22,Female,Other,,Novice,Third-person,0,Novice,8,44.875,3.3475,1E,2
2025,23,Female,"Asian,White",,Novice,First-person,0,Novice,7,74,6.585714286,3E,0
2027,20,Female,Asian,,Novice,First-person,0,Novice,5,69,8.884,4E,1
2028,21,Female,Asian,,Novice,First-person,0,Novice,4,19.75,9.4,3E,2
2032,22,Female,Asian,,Novice,Third-person,0,Novice,6,57,8.426666667,4E,2
2033,22,Female,Native Hawaiian or Other Pacific Islander,,Novice,First-person,0,Novice,5,40,4.392,3E,0
2035,23,Female,Middle Eastern,,Novice,First-person,0,Novice,4,24,3.535,2E,3
2037,21,Female,Latino/Latina/Latinx,,Intermediate,Both,0,Expert,6,86.33333333,6.001666667,2E,1
2041,17,Male,Asian,,Expert,Both,2,Intermediate,3,102,9.32,4E,1
2042,20,Female,Asian,,Novice,Both,1,Novice,6,39.83333333,7.495,3E,1
2043,23,Female,Asian,,Novice,Neither,0,Novice,7,56.85714286,3.955714286,1E,1
2046,19,Male,Asian,,Expert,Both,4,Intermediate,12,43.25,3.360833333,1E,0
2049,18,Male,Asian,,Expert,Both,3,Expert,9,55.66666667,5.112222222,1E,3
2051,27,Female,White,,Novice,Third-person,0,Novice,6,68,2.773333333,2E,0
2052,20,Male,White,,Expert,Both,6,Expert,6,51,3.88,3E,3
2055,21,Female,"Latino/Latina/Latinx,Native Hawaiian or Other Pacific Islander,White",,Expert,Both,7,Intermediate,4,31.25,3.6375,1E,0
2056,28,Male,White,,Novice,Both,0,Novice,8,55,3.0575,2E,1
2057,26,Female,Latino/Latina/Latinx,,Novice,First-person,,Novice,2,25,1,2E,0
2059,22,Male,Asian,,Intermediate,Both,2,Intermediate,5,52.6,6.756,4E,2
2066,18,Female,Latino/Latina/Latinx,,,,,,2,51,6.935,4E,0
2067,19,Female,Asian,,Novice,Neither,0,Novice,8,50,3.98375,3E,0
2070,20,Female,Asian,,Intermediate,First-person,2,Intermediate,6,31.66666667,8.275,4E,2
2071,21,Female,Asian,,Novice,Neither,0,Novice,4,61.75,3.9325,4E,2
2073,22,Female,Asian,,Expert,Both,1,Intermediate,4,23,2.615,4E,0
2074,21,Female,Asian,,Intermediate,Third-person,0,Novice,8,106,4.92125,3E,1
2075,17,Male,Asian,,Novice,First-person,0,Novice,5,61.2,4.392,2E,1
2077,19,Female,Asian,,Intermediate,Both,2,Intermediate,12,36.33333333,4.7175,3E,1
2079,20,Female,Asian,,Intermediate,Both,0,Novice,7,53,5.455714286,3E,1
2080,20,Male,White,,Intermediate,Both,0,Intermediate,12,40.5,4.000833333,4E,1
2081,20,Female,Asian,,Intermediate,Third-person,2,Novice,11,63.18181818,4.087272727,1E,1
2082,20,Female,Asian,,Novice,Neither,0,Novice,1,43,1,4E,2
2083,21,Male,White,,Intermediate,Both,3,Novice,10,61.2,4.815,4E,2
2084,27,Female,Latino/Latina/Latinx,,Intermediate,Neither,0,Novice,2,69.5,6.91,1E,0
2085,22,Female,Latino/Latina/Latinx,,Novice,Neither,0,Novice,4,68.25,4.785,1E,0
2086,22,Female,Asian,,Novice,First-person,2,Novice,6,60.66666667,5.433333333,3E,1
2087,22,Female,Asian,,Novice,Both,1,Novice,7,39,4.885714286,3E,1
2088,23,Male,"Latino/Latina/Latinx,White",,Expert,Both,4,Expert,11,55.18181818,1.938181818,3E,0
2089,19,Non-binary,Asian,,Novice,Third-person,3,Intermediate,8,46.375,2.495,3E,1
2091,21,Female,Black or African American,,Novice,Neither,0,Novice,6,106,5.198333333,3E,1
2092,31,Female,Middle Eastern,,Novice,First-person,0,Novice,5,53.2,4.138,3E,0
2092,31,Female,Middle Eastern,,Novice,Both,0,Novice,5,53.2,4.138,3E,0
2093,17,Female,Native Hawaiian or Other Pacific Islander,,Expert,Both,2,Expert,9,29.44444444,3.521111111,3E,2
2094,29,Female,Latino/Latina/Latinx,,Novice,Neither,0,Novice,3,48.66666667,3.076666667,3E,1
2096,21,Female,"White,Other",Spanish Basque,Novice,Neither,0,Novice,4,116,7.765,3E,1
2098,30,Female,Latino/Latina/Latinx,,Intermediate,First-person,1,Intermediate,5,78.8,3.746,3E,2
2099,21,Male,Asian,,Intermediate,Both,0,Novice,10,64.6,3.969,3E,1
2100,20,Female,White,,Novice,First-person,1,Novice,8,48.25,8.59375,3E,3
2101,21,Male,"Middle Eastern,Other",Iranian,Intermediate,Both,0,Novice,12,45.75,4.315,3E,0
2109,21,Male,Asian,,Expert,Third-person,2,Novice,5,42,1.928,3E,1
2110,20,Female,Asian,,Intermediate,Third-person,5,Novice,7,68.42857143,7.125714286,3E,0
2111,23,Female,Asian,,Novice,Neither,0,Novice,3,35.66666667,6.7,4E,1
2113,21,Female,Latino/Latina/Latinx,,Intermediate,First-person,5,Novice,9,55.66666667,4.804444444,2E,1
2114,19,Female,Asian,,Novice,Both,0,Intermediate,7,32.28571429,7.671428571,4E,2
2115,22,Female,White,,Intermediate,Third-person,1,Novice,7,80.14285714,3.325714286,2E,1
2117,19,Female,Asian,,Novice,First-person,0,Intermediate,7,33.71428571,4.274285714,1E,0
2118,19,Female,White,,Expert,Both,2,Expert,9,57.44444444,3.571111111,1E,1
